Art.Nr.;Bezeichnung;Sparte;M1 hoch;M1 runter;M2 hoch;M2 runter;M3 hoch;M3 runter;M4 hoch;M4 runter;M5 hoch;M5 runter;Reset hoch;Reset runter;Memoposition 1;Memoposition 2;Memoposition 3;Memoposition 4;Memoposition  speichern;Synchro;Steckdose;UBB;Kindersicherung;Taschenlampe;Massageprogramm 1;Massageprogramm 2;Massageprogramm 3;Massage aus;Anzeige Massageintensitâ€t
bedding-all;bedding, all functions;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein
bedding-2;bedding, 2 actuators;bedding;ja;ja;ja;ja;nein;nein;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;nein
seating-1;seating, 1 actuator;seating;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein;nein
seating-2;seating, 2 actuators;seating;ja;ja;ja;ja;nein;nein;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein;nein
seating-3;seating, 3 actuators;seating;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein;nein
seating-4;seating, 4 actuators;seating;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein;nein
62211;RF HS-Elegance N silver - black, 17 Button Quadro;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
62612;RF HS-Elegance N black - red 17 Button Quadro;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
63293;RF HS-Classic N, 6 Button, black;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
63338;RF HS-Deluxe N, 8 Button, black;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein
63365;RF HS-Elegance N black - silver, 17 Button Quadro;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
65418;RF HS-Elegance N silver - black 15 Button Trio Neck Rest;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
65433;RF HS-Elegance N silver - black, 13 Button;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein
65567;RF HS-Elegance T silver - black;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;ja;ja;ja;ja;ja
68036;RF-SYSTEM/SW/6/1476/2400MHZ;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
71852;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG SENDER ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
71853;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
73591;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
73593;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
74130;REMOTE CONTROL 2,4GHz ECO 1MOTORIG;bedding;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
74131;SET REMOTE CONTROL 2,4GHz ECO 1MOTORIG;bedding;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
75225;RF-SYSTEM/SW/ST/6/1476/2400MHZ;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
75267;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
75268;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG SENDER ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
76208;RF Handset Elegance N/black-silver/19/Memo/Massage/UBB;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;ja;ja;ja;ja;ja
76688;RFS-ELLIPSE/SW-SW-06-1844/-/-/-/02 GR/---/--/2 ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
76691;RFS-ELLIPSE/SW-SW-09-1845/-/-/M/02 GR/UBB/--/2 ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;ja;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein
77008;RF eco black Soft Touch, single packed (w/o Receiver);bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
77010;RF eco black, single packed (w/o Receiver);bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
77011;RF eco silver, single packed (w/o Receiver);bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
77560;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
77561;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
77839;RF-TOUCH/BRW/BK/16/1867/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
77991;RF-TOUCH/BRW/BK/16/1867/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
77994;RF-TOUCH/BRW/BK/20/1868/L;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
77995;RF-TOUCH/BRW/BK/18/1869/L;bedding;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
77996;RF-TOUCH/BK/BRW/18/1870/03;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78031;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
78033;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
78080;RF-TOUCH/BRW/BK/16/1889/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78081;RF-TOUCH/BRW/BK/16/1889/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78102;RF-TOUCH/BRW/BK/18/1892/L;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78103;RF-TOUCH/BRW/BK/20/1890/L;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78105;RF-TOUCH/BRW/BK/16/1893/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78109;RF-TOUCH/BRW/BK/18/1891/L;bedding;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78110;RF-TOUCH/BRW/BK/18/1894/L;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78111;RF-TOUCH/BRW/BK/20/1895/L;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78237;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
78238;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
78281;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
78283;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
78375;RFS-ELLIPSE/WS-SW-06-1844/-/-/-/02 GR/---/--/2 ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
78378;RFS-ELLIPSE/WA-SW-06-1844/-/-/-/02 SW/---/--/2 ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
78379;RFS-ELLIPSE/WS-SW-09-1845/-/-/M/02;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;ja;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein
78381;RFS-ELLIPSE/WA-SW-09-1845/-/-/M/02 SW/UBB/--/2 ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;ja;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein
78386;RFS-ELLIPSE/WA-SW-06-1902/-/-/-/02 SW/---/--/2 ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
78737;RF-TOUCH/BRW/BK/21/1899/L;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein
78773;RF-TOUCH/BRW/BK/19/1896;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;nein;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78785;RF-TOUCH/BRW/BK/19/1897;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;nein;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78791;RF-TOUCH/BRW/BK/19/1898/L;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;nein;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78847;RF-TOUCH/BRW/BK/14/1923;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78854;RF-TOUCH/BRW/BK/14/1924/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
78860;RF-TOUCH/BRW/BK/14/1925/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
80027;RF-TOUCH/BK/BK/14/1923;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
80035;RF-TOUCH/BK/BK/19/1896;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;nein;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
80036;RF-TOUCH/BK/BK/17/1965;bedding;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;nein;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
80354;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80355;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80358;REMOTE CONTROL 2,4GHz ECO 1MOTORIG;bedding;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80360;SET REMOTE CONTROL 2,4GHz ECO 1MOTORIG;bedding;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80593;RF-TOUCH/BRW/BK/8/1952/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
80595;RF-TOUCH/BRW/BK/8/1954/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
80597;RF-TOUCH/BRW/BK/8/1953/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
80599;RFS-ELLIPSE/SW-SW-06-1844/-/-/-/02 GR/---/--/2 ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
