Art.Nr.;Bezeichnung;Sparte;M1 hoch;M1 runter;M2 hoch;M2 runter;M3 hoch;M3 runter;M4 hoch;M4 runter;M5 hoch;M5 runter;Reset hoch;Reset runter;Memoposition 1;Memoposition 2;Memoposition 3;Memoposition 4;Memoposition  speichern;Synchro;Steckdose;UBB;Kindersicherung;Taschenlampe;Massageprogramm 1;Massageprogramm 2;Massageprogramm 3;Massage aus;Anzeige Massageintensitâ€t
80601;RFS-ELLIPSE/SW-SW-09-1845/-/-/M/02 GR/UBB/--/2 ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;ja;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein
80602;RFS-ELLIPSE/WA-SW-06-1902/-/-/-/02 SW/---/--/2 ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80603;RFS-ELLIPSE/WS-SW-09-1845/-/-/M/02;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;ja;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein
80604;RFS-ELLIPSE/WA-SW-09-1845/-/-/M/02 SW/UBB/--/2 ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;ja;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein
80608;RFS-ELLIPSE/WA-SW-06-1844/-/-/-/02 SW/---/--/2 ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80616;RFS-ELLIPSE/WS-SW-06-1844/-/-/-/02 GR/---/--/2 ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80673;REMOTE CONTROL 2,4GHz ECO 2MOT. SW/E.VP/m.BA.;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80674;REMOTE CONTROL 2,4GHz ECO 2MOT. SW/E.VP/m.BA./ ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80675;REMOTE CONTROL 2,4GHz ECO 2MOT. WA/E.VP/m.BA.;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80676;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG SENDER ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80683;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG SENDER ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80685;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG SENDER ...;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80714;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80716;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
80903;RF-TOUCH/BK/BK/14/2009;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;ja;ja;nein;ja;ja;ja;nein;nein;nein;nein;nein
81183;RF-TOUCH/BRW/BK/8/1952/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
81185;RF-TOUCH/BRW/BK/16/1867/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
81186;RF-TOUCH/BRW/BK/8/1954/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
81187;RF-TOUCH/BRW/BK/18/1870/L;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
81191;RF-TOUCH/BRW/BK/20/1868/L;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
81192;RF-TOUCH/BRW/BK/18/1894/L;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
81193;RF-TOUCH/BRW/BK/18/1869/L;bedding;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
81194;RF-TOUCH/BRW/BK/8/1953/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
81196;RF-TOUCH/BRW/BK/16/1889/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
81197;RF-TOUCH/BRW/BK/20/1890/L;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
81202;RF-TOUCH/BRW/BK/18/1892/L;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
81204;RF-TOUCH/BRW/BK/18/1891/L;bedding;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
81205;RF-TOUCH/BRW/BK/20/1895/L;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
81611;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
81613;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
81619;REMOTE CONTROL 2,4GHz ECO 1MOTORIG;bedding;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
81620;SET REMOTE CONTROL 2,4GHz ECO 1MOTORIG;bedding;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
82292;RF-TOUCH/BRW/BK/14/2006;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
82295;RF-TOUCH/BRW/BK/19/2004;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;nein;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
82417;RF-TOPLINE SI/BK/BK/07;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
82418;RF-TOPLINE SI/BK/BK/11;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
82620;RF-TOPLINE BK/BK/BK/07/H;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
82634;RF-TOPLINE BK/BK/BK/11;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;ja;nein;ja;ja;nein;nein;nein;nein;nein
82635;RF-TOPLINE BK/BK/BK/11/H;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;ja;nein;ja;ja;nein;nein;nein;nein;nein
82755;RF-TOPLINE SI/BK/BK/03;bedding;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
82757;RF-TOPLINE BK/BK/BK/07/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
82760;RF-TOPLINE BK/BK/BK/07/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
82764;RF-TOPLINE BK/BK/BK/07/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
82767;RF-TOPLINE BK/BK/BK/07/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
82770;RF-TOPLINE SI/BK/BK/07/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
82785;RF-TOPLINE BK/BK/BK/11;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;ja;nein;ja;nein;ja;nein;nein;nein;nein;nein
82786;RF-TOPLINE SI/BK/BK/11/L;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;ja;nein;ja;nein;ja;nein;nein;nein;nein;nein
82790;RF-TOPLINE BK/BK/BK/11;bedding;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;ja;nein;ja;nein;ja;nein;nein;nein;nein;nein
82794;RF-TOPLINE BK/BK/BK/11/L;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;nein;nein;nein;nein;nein;ja;nein;nein;nein;ja;nein;nein;nein;nein;nein
82795;RF-TOPLINE BK/BK/BK/11/L;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;nein;nein;nein;nein;nein;ja;nein;nein;nein;ja;nein;nein;nein;nein;nein
82796;RF-TOPLINE SI/BK/BK/11/L;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;nein;nein;nein;nein;nein;ja;nein;nein;nein;ja;nein;nein;nein;nein;nein
82797;RF-TOPLINE BK/BK/BK/11/L;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;nein;nein;nein;nein;nein;ja;nein;nein;nein;ja;nein;nein;nein;nein;nein
82799;RF-TOPLINE SI/BK/BK/11;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;nein;nein;nein;nein;nein;ja;nein;nein;nein;ja;nein;nein;nein;nein;nein
83060;RF-TOUCH/BRW/BK/14/2182/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;nein
83126;RF-TOUCH/BRW/BK/19/2114;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;ja;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein
83219;RF-TOUCH/BRW/BK/24/2068/-;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;ja;ja;ja;ja;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein
83358;RF-TOPLINE BK/BK/BK/07;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
83462;SET RF-TOPLINE SI/BK/BK/07/M2/ST/DP2/LI/FL;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
83489;RF-TOPLINE SI/BK/BK/11/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
83603;SET HS-TOPLINE/D/BK/BK/BK/06 M2;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
84148;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
84149;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
84150;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
84151;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
84173;RF-TOUCH/BRW/BK/23/2126;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;nein;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;nein
84562;RF-ECO+/06/AL/BK/L;seating;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
84563;RF-ECO+/07/AL/BK/L;seating;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
84564;RF-ECO+/09/AL/BK/L;seating;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
84582;RF-ECO+/05/AL/BK/L;seating;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
84931;RF-TOPLINE/07/AL/BK/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
84963;RF-TOPLINE/07/BK/BK/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
85057;RF-TOPLINE/11/AL/BK/L;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
85058;RF-TOPLINE/11/AL/BK/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
85124;RF-LITE/06/BK/BK;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
85126;SET RF-LITE/06/BK/BK/M2/S/IP20;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
89476;RF-TOPLINE/11/AL/BK;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
Table-test;Testing device for tables;office;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
no-device;addition for fallback;NaN;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
99999;RF-ECO+/06/AL/BK/L;seating;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
